id,name,author,isbn,created
756,Cross-platform,Massimiliano Mattiassi,358174983-1,1995-07-08T16:36:19Z
757,complexity,Chalmers Heazel,759965552-2,1997-08-27T15:34:01Z
758,composite,Jessamyn Sima,176019935-4,1995-11-07T05:56:51Z
759,Managed,Fleur Bolan,938537536-9,1983-05-28T16:39:20Z
760,Digitized,Barris Gulvin,979277277-4,1998-06-10T13:15:18Z
761,value-added,Kerianne Vankin,254416255-4,1986-08-05T00:39:56Z
762,Versatile,Shannon Pryer,083471550-3,2017-04-09T23:42:21Z
763,Reduced,Mile Saddington,817399951-1,1971-05-02T00:01:13Z
764,Profound,Cyrill Forsythe,960954192-5,1995-09-04T07:19:14Z
765,Quality-focused,Dulsea Gerling,162096101-6,1985-02-02T08:31:15Z
766,Digitized,Hastings Bellow,630046310-9,1981-10-29T22:22:33Z
767,service-desk,Coral Huc,612992099-7,2009-03-05T11:31:29Z
768,focus group,Kati Sherr,153010600-1,1977-06-21T20:55:30Z
769,interface,Nicola Weiss,703142331-7,1970-09-21T01:38:59Z
770,Operative,Cobby McQuorkell,296188102-1,1983-04-02T17:11:17Z
771,incremental,Freeland Wilks,414753575-5,1982-01-17T16:00:23Z
772,Business-focused,Adelind Poker,620493899-1,2017-09-03T02:14:20Z
773,projection,Marcelo Hutley,901810994-0,2011-04-24T06:23:08Z
774,system engine,Rodney Delleschi,518931164-3,1988-07-30T02:43:49Z
775,high-level,Gearalt Mort,357832558-9,2018-12-31T00:44:25Z
776,full-range,Tori Yven,699435768-6,1976-05-01T18:36:56Z
777,Multi-lateral,Nanette Eykel,855623852-1,2011-01-15T10:26:42Z
778,intermediate,Jeno Burland,703701045-6,1998-09-20T16:20:57Z
779,Persevering,Meara Iwanicki,669669982-1,2018-05-17T21:45:19Z
780,Public-key,Waverly Deabill,875207584-2,1993-07-23T09:44:08Z
781,24/7,Shaun Tyrie,105994061-2,1975-01-25T19:38:25Z
782,multi-tasking,Ruthy Bootell,602850848-9,2012-03-23T03:08:06Z
783,User-friendly,Margaret Saintsbury,457093297-5,2008-10-03T02:58:48Z
784,actuating,Maryjane Strapp,666808879-1,1986-12-06T13:54:48Z
785,budgetary management,Mariquilla O'Fihily,129867154-X,1980-10-13T18:01:32Z
786,model,Floria Philson,376711553-0,2020-03-08T02:19:23Z
787,Integrated,Kathlin Patching,607259289-9,2007-06-20T21:48:30Z
788,middleware,Robert Tong,172525842-0,2016-07-18T10:57:21Z
789,project,Clarinda Moultrie,399565706-0,1984-09-19T10:42:50Z
790,web-enabled,Maia Hanson,905781678-4,1991-05-22T15:04:20Z
791,archive,Patton Seabridge,187776657-7,1986-12-13T12:13:38Z
792,instruction set,Cassius MacVanamy,341299384-0,1993-02-04T12:16:35Z
793,contingency,Gallagher Beavis,278705810-8,1984-08-17T06:18:14Z
794,dynamic,Linus Jefferies,150274184-9,2018-08-06T09:49:55Z
795,challenge,Annabela Scammonden,241519069-1,1990-04-27T22:43:25Z
796,functionalities,Jerrine Portriss,721829280-1,2006-02-20T23:01:11Z
797,groupware,Dudley Ilyenko,053912045-6,2014-04-09T20:46:25Z
798,zero administration,Byron Liversedge,997711897-3,1979-07-21T04:35:06Z
799,portal,Heidi Bricket,938743254-8,1983-05-16T19:13:48Z
800,Virtual,Faulkner Syratt,365935565-8,1986-11-10T19:42:59Z
801,mobile,Bartie Roxbee,064439427-7,1982-04-05T14:48:15Z
802,Multi-channelled,Marjory Curd,876145237-8,2006-10-30T02:19:43Z
803,object-oriented,Eolande Gabbitus,166839975-X,1984-11-25T14:13:10Z
804,middleware,Karry Blincowe,156820664-X,1970-11-15T08:35:52Z
805,initiative,Calla Standeven,445139547-X,2010-01-08T05:18:41Z
806,impactful,Otes Lemanu,558954391-6,1981-10-05T19:55:11Z
807,3rd generation,Eleanora Baybutt,477791859-9,1976-11-06T18:50:11Z
808,responsive,Elbertina Costard,557307842-9,1975-01-31T23:02:30Z
809,migration,Batholomew Housley,555533625-X,2017-10-09T00:05:19Z
810,Mandatory,Pietrek O'Hannen,571981507-4,2001-12-28T17:40:42Z
811,tertiary,Orton Kendle,593036298-X,1973-08-22T04:45:13Z
812,Realigned,Audre Windham,023414414-9,2004-04-18T21:41:48Z
813,Synchronised,Corny McFarlan,916998566-9,1978-08-01T10:25:32Z
814,Profound,Galvan Rist,020737623-9,1987-01-28T16:24:19Z
815,explicit,Minnnie Tupman,394860922-5,1974-01-31T09:54:04Z
816,Reactive,Kelcy Gianninotti,072020483-6,2005-01-28T15:31:14Z
817,foreground,Aura Pinkett,205163261-8,1986-06-29T05:23:11Z
818,Monitored,Tracee Mincini,674185568-8,1974-05-16T04:25:07Z
819,6th generation,Palmer Keohane,422526855-1,2001-03-04T12:22:31Z
820,Team-oriented,Hailey Fike,157154208-6,1974-08-30T12:23:45Z
821,non-volatile,Sabra Wilkinson,570641438-6,2013-10-04T03:51:06Z
822,Face to face,Filide Santora,271327922-4,2015-08-03T11:24:28Z
823,Upgradable,Lucais Poplee,187149580-6,2001-09-04T08:04:09Z
824,Secured,Alexander Dawidman,957771457-9,1971-05-19T19:15:14Z
825,artificial intelligence,Aksel Fardoe,613196971-X,1991-06-12T05:07:53Z
826,attitude,Kennie O' Culligan,393925447-9,1996-08-08T07:46:56Z
827,Visionary,Dosi Moggie,676291042-4,1994-12-20T01:23:13Z
828,groupware,Lyn Mudd,556392787-3,2006-01-01T13:55:07Z
829,productivity,Evelina MacKerley,643360422-6,2018-09-13T09:32:02Z
830,Reverse-engineered,Malinde Sparsholt,263683528-8,2008-07-06T19:42:39Z
831,success,Rochell Axcell,017054777-9,1985-11-16T22:14:55Z
832,capacity,Vic Astley,038137938-8,2019-12-11T06:26:37Z
833,Diverse,Denis Jenkyn,547772680-6,2007-01-18T12:45:55Z
834,responsive,Korney Loxton,212803922-3,1970-03-20T13:18:50Z
835,Assimilated,Mariele Tinson,982081904-0,1991-12-29T05:36:04Z
836,Object-based,Fanchette Honsch,370667832-2,2006-10-03T07:52:26Z
837,Integrated,Shani Ruscoe,868369268-X,1973-06-27T16:14:21Z
838,Robust,Janelle McPartling,845548669-4,2016-03-14T05:42:21Z
839,Upgradable,Peggy Myrkus,257058271-9,2003-12-05T09:35:00Z
840,Multi-tiered,Therese Tague,744301058-3,1990-07-19T04:47:04Z
841,process improvement,Bartram Langlands,133386624-0,1975-03-17T20:37:35Z
842,flexibility,Shel Ferrer,842114644-0,2016-09-13T00:39:35Z
843,Synergized,Harvey Sives,701681897-7,2020-11-26T06:33:35Z
844,global,Far Keppin,392997880-6,1986-10-16T21:46:06Z
845,heuristic,Emogene Stoak,491084251-9,1995-01-18T10:29:30Z
846,Cross-group,Paulina Haacker,385085708-5,2020-01-16T06:34:19Z
847,impactful,La verne Letty,216948649-6,2004-02-21T21:24:52Z
848,Customizable,Yves Sevitt,371774458-5,2014-10-29T01:12:21Z
849,Implemented,Inna Lissett,606017905-3,1991-07-10T13:22:38Z
850,bandwidth-monitored,Kathie Shillabear,874999973-7,1990-02-23T18:00:37Z
851,product,Sibyl Carleton,473598895-5,2015-11-11T21:12:54Z
852,Profound,Harwell Fumagallo,643883937-X,1975-09-07T13:24:37Z
853,responsive,Lanna Flaonier,577430521-X,2006-10-08T11:18:10Z
854,firmware,Tucky O' Concannon,293009046-4,2010-05-09T16:45:10Z
855,groupware,Royal Thurman,670620816-7,1997-07-23T18:46:25Z
856,upward-trending,Ezechiel McGennis,036980893-2,2015-04-26T02:08:34Z
857,monitoring,Hymie Webling,932388500-2,1994-09-29T00:56:26Z
858,challenge,Sherri Windmill,329571731-1,1997-08-14T15:50:19Z
859,Focused,Franchot Tear,627184443-X,1996-12-03T11:20:51Z
860,zero administration,Sigfried Dumelow,759049889-0,1979-05-04T13:10:35Z
861,Persevering,Dotty Eastlake,592854615-7,1970-04-27T23:35:50Z
862,structure,Vinnie Deniske,747580481-X,2012-07-21T03:41:39Z
863,Universal,Fidole Hairon,868883232-3,1997-08-04T03:56:34Z
864,Stand-alone,Somerset Blackley,322192127-6,1999-11-13T06:53:12Z
865,Horizontal,Dave Clappison,976377393-8,1984-03-01T04:15:28Z
866,cohesive,Shayne Liveing,310142958-7,1973-10-12T10:22:47Z
867,asynchronous,Merline Grevatt,511587761-9,2019-02-25T10:29:01Z
868,conglomeration,Ives Benzi,096951533-2,1985-07-08T12:24:06Z
869,Synergized,Barbabas Spinetti,397440359-0,2008-01-23T02:10:19Z
870,Public-key,Luise Waldram,275459705-0,1981-03-06T18:44:47Z
871,solution-oriented,Lyndy Barter,428466715-7,2006-10-24T16:33:04Z
872,Fundamental,Moishe Dourin,277825376-9,1977-10-15T14:04:58Z
873,Triple-buffered,Gilly Gravenor,874813200-4,1977-02-24T14:37:57Z
874,Graphic Interface,Leanor Flamank,844853455-7,2019-07-04T10:01:20Z
875,analyzer,Joscelin Spybey,604750196-6,1971-01-28T16:11:15Z
876,architecture,Jere Diglin,762853215-2,2019-12-13T15:46:57Z
877,help-desk,Rosalynd Mansel,246814896-7,1987-07-15T14:30:42Z
878,flexibility,Burk Rodenburgh,620144131-X,1994-09-07T23:11:54Z
879,Optional,Alli Kinsell,898942472-0,2007-12-31T04:21:53Z
880,bi-directional,Paige Tait,529723914-1,2012-06-15T09:35:01Z
881,Visionary,Minnaminnie Tock,628801013-8,1976-05-30T11:54:53Z
882,systemic,Giustina Cotterill,961471800-5,1974-03-08T02:54:44Z
883,Re-engineered,Yevette Normadell,740725471-0,2020-08-22T16:09:45Z
884,Managed,Heath Gotobed,431022562-4,2003-02-07T00:18:17Z
885,uniform,Carmina Hugonet,206040023-6,1972-01-15T11:10:21Z
886,heuristic,Zarah Marlin,230769747-0,1991-09-19T17:02:35Z
887,Graphic Interface,Terry Whichelow,946247573-3,1972-05-23T03:49:44Z
888,circuit,Paddy Fortun,846140352-5,1991-12-26T02:09:54Z
889,Configurable,Leon Letch,061360611-6,1993-06-01T02:28:37Z
890,Team-oriented,Wald Postle,773813560-3,2018-05-13T01:00:54Z
891,neutral,Lynnea Ambrogi,046959140-4,1983-01-23T23:17:26Z
892,multimedia,Wynn McCorkell,559125125-0,1989-09-24T21:35:49Z
893,Virtual,Wilone Dennington,307836161-6,2017-12-25T02:21:17Z
894,motivating,Barrie Sautter,321418889-5,1996-02-25T10:26:57Z
895,responsive,Ahmad Whitemarsh,565531996-9,2007-01-12T08:24:53Z
896,contingency,Daphene Slight,620759466-5,1970-11-04T23:29:43Z
897,modular,Cal Ondrus,406971825-7,1984-01-12T00:46:51Z
898,hardware,Taffy Schubbert,621495408-6,1998-09-04T04:57:05Z
899,Adaptive,Ennis Richfield,646618927-9,1992-03-22T07:11:59Z
900,hybrid,Ado Isac,278665571-4,1995-11-06T08:43:32Z
901,matrices,Cindie Dewire,108844030-4,2019-05-11T20:41:34Z
902,flexibility,Edwina Treadaway,884579050-9,2015-05-17T01:39:40Z
903,Extended,Amalie McKaile,109922808-5,1973-11-14T02:47:49Z
904,Realigned,Minetta Mayoh,346879479-7,2008-03-02T10:49:37Z
905,Organized,James Robez,121029845-7,1971-10-03T07:46:36Z
906,24/7,Romy Foster-Smith,584437379-0,1971-10-18T12:06:42Z
907,throughput,Rois Orys,681269678-1,1995-08-15T08:21:18Z
908,groupware,Didi Kassman,198970576-6,1973-03-30T13:01:39Z
909,Multi-channelled,Doe Hansie,629986030-8,2001-09-12T18:04:15Z
910,Graphical User Interface,Adele Goodliff,120684914-2,1971-10-19T07:04:15Z
911,Configurable,Jennilee Vairow,211441900-2,1973-01-23T09:47:01Z
912,6th generation,Hoebart Blaxeland,617732242-5,1972-02-06T18:39:37Z
913,Synergistic,Timi Dunsmore,925151619-7,2014-06-14T07:12:27Z
914,emulation,Shell Barling,966739205-8,2011-04-12T15:59:13Z
915,workforce,Sanderson Beatty,885236472-2,1994-11-04T08:48:57Z
916,task-force,Ilyssa Castello,446109586-X,1971-03-14T08:04:23Z
917,Networked,Mordecai Caress,612576309-9,1987-05-30T21:17:53Z
918,conglomeration,Karlie Cunah,324212240-2,1992-10-28T03:47:20Z
919,array,Claudianus Swede,695365213-6,1982-07-17T15:20:11Z
920,parallelism,Raf Donlon,738261290-2,1995-12-14T22:38:41Z
921,service-desk,Estrella Spadeck,574756310-6,1972-10-08T21:29:49Z
922,Expanded,Tobias Longstreeth,236608967-8,1970-12-10T06:29:35Z
923,Digitized,Mable Bramo,909317738-9,1987-02-08T18:12:58Z
924,foreground,Kaspar Yallowley,107417372-4,2005-01-30T20:29:06Z
925,asynchronous,Erroll Mitroshinov,036274741-5,2009-08-05T23:46:59Z
926,methodical,Galina Ropars,202877232-8,1991-10-03T18:16:07Z
927,Devolved,Desirae Muirhead,233934767-X,1985-10-08T19:21:52Z
928,real-time,Tedi Bracher,058990004-8,1975-01-04T06:53:57Z
929,encryption,Waverly Grene,134425466-7,1975-08-07T23:23:52Z
930,Open-architected,Staffard Baltzar,286581478-5,1991-04-22T13:47:33Z
931,solution-oriented,Torre Treker,036328112-6,1980-02-21T08:50:22Z
932,frame,Sal Allcock,082746313-8,2019-04-19T13:22:45Z
933,fault-tolerant,Zarla Murdoch,433254062-X,1975-11-26T09:05:33Z
934,national,Enrico Samsonsen,782119540-5,1977-12-11T12:57:11Z
935,Multi-tiered,Kristo Fairlamb,001582825-5,1979-08-03T02:03:44Z
936,Managed,Burton Kennermann,994049234-0,2019-09-27T21:27:55Z
937,customer loyalty,Addison Kennedy,021723122-5,2001-12-28T09:13:48Z
938,product,Anson Brimilcombe,588280592-9,2019-08-13T22:47:23Z
939,Cloned,Margeaux Bergin,065501532-9,1979-06-25T06:57:01Z
940,attitude-oriented,Gunar Attenbrough,224217819-9,2017-12-25T18:02:51Z
941,Cross-group,Udall Harness,728123350-7,1994-11-06T00:39:25Z
942,circuit,Giffard Izkovici,671563354-1,1994-07-06T00:35:59Z
943,Programmable,Germayne Bucktrout,068139525-7,1988-06-08T10:10:26Z
944,Team-oriented,Fran Ilyinykh,269725053-0,1972-03-05T12:30:35Z
945,installation,Umberto Hubbins,208876799-1,2002-06-28T18:42:59Z
946,challenge,Erek MacLardie,471225796-2,2010-10-06T17:47:56Z
947,function,Devon Camerana,213380881-7,2007-01-21T03:05:19Z
948,circuit,Nicolle Filipputti,038630424-6,2000-11-16T14:56:58Z
949,implementation,Alanson Burnie,322942999-0,2004-11-17T10:45:30Z
950,Synchronised,Rhonda Merioth,189229761-2,2019-03-31T19:24:25Z
951,strategy,Thia Little,524907861-3,2020-03-25T09:04:59Z
952,software,Margarette Frankom,978384097-5,2006-12-25T00:28:16Z
953,Pre-emptive,Jayne Kremer,950559861-0,1988-09-17T20:02:20Z
954,Seamless,Adi Crain,356710384-9,1981-05-19T10:03:07Z
955,Innovative,Ellswerth Simonitto,782937773-1,1996-10-03T21:25:48Z
956,functionalities,Farleigh Dikelin,968962948-4,2015-01-09T22:23:02Z
957,motivating,Costanza Skokoe,489452847-9,2003-11-27T13:22:21Z
958,Graphical User Interface,Hyacinthe Fish,645092400-4,1985-01-24T00:47:08Z
959,intangible,Claude McKeevers,295358451-X,2005-01-06T11:19:33Z
960,project,Felicle Askey,479007197-9,2017-10-08T19:44:42Z
961,dynamic,Athene Tregido,507095682-5,1986-02-04T03:33:52Z
962,tangible,Emmy Smalridge,069502560-0,2008-11-06T21:47:52Z
963,Realigned,Keriann McQuin,550457757-8,1975-05-24T22:14:17Z
964,Streamlined,Ber O'Gready,575498385-9,1985-06-29T10:23:07Z
965,dedicated,Jonis Artharg,444091339-3,1999-06-11T21:42:28Z
966,analyzing,Ira Agiolfinger,913775869-1,1974-10-14T00:42:34Z
967,zero administration,Lonni Goude,985482881-6,2015-11-24T19:36:03Z
968,incremental,Jolynn O'Dowling,810421087-4,2014-10-22T23:12:29Z
969,systematic,Maddie McGuigan,158960996-4,2018-11-27T14:21:50Z
970,mission-critical,Theodor O'Lenechan,909294087-9,2012-12-26T07:05:05Z
971,Balanced,Chan Bamford,991515178-0,1973-05-03T02:29:05Z
972,Organic,Kylynn Matthius,977001478-8,2014-12-27T10:03:56Z
973,24/7,Fernande Leatham,479400223-8,1997-09-04T23:36:08Z
974,user-facing,Hamlen McTurlough,270931401-0,2009-01-25T03:52:13Z
975,Streamlined,Chelsy Blethin,967084565-3,1993-04-27T19:56:27Z
976,Programmable,Dorthy Felix,582091522-4,1977-06-22T12:27:03Z
977,emulation,Karleen MacRedmond,219398986-9,2019-03-26T04:00:26Z
978,standardization,Mable Held,390784550-1,1995-11-19T14:15:57Z
979,bandwidth-monitored,Chuck Lighterness,899567080-0,1980-06-14T09:14:34Z
980,Fundamental,Gerick Cornthwaite,701690346-X,2018-02-11T02:02:22Z
981,Quality-focused,Peter Enders,249638677-X,1984-07-11T21:47:47Z
982,matrix,Tiff Quinlan,310431532-9,1988-05-27T15:18:01Z
983,budgetary management,Bernadene Longstaff,374227679-4,1989-02-19T06:48:02Z
984,open architecture,Babbette Perutto,416946169-X,2008-07-05T19:49:25Z
985,service-desk,Edithe Hrishanok,191141965-X,2016-06-05T08:08:09Z
986,dedicated,Alfie Mathwin,370368481-X,1986-07-20T17:33:35Z
987,bottom-line,Francesca Gullyes,943268379-6,1976-05-31T18:13:42Z
988,toolset,Robbi Broddle,027701372-0,1991-01-15T15:27:02Z
989,secured line,Nealon Ekless,113503662-4,2012-04-23T11:38:44Z
990,attitude,Bethany Tuckett,779108160-1,1983-05-07T18:50:56Z
991,productivity,Rahal Barke,349345476-7,1980-05-02T10:54:57Z
992,product,Marabel McIlvoray,538349384-0,1982-10-20T21:05:12Z
993,functionalities,Richart MacDonogh,681371674-3,1974-07-31T11:18:04Z
994,emulation,Zach Coniam,715873265-7,2000-07-20T18:00:58Z
995,grid-enabled,Benedikta Eller,568197948-2,1977-06-13T19:31:18Z
996,Object-based,Jordain Beningfield,056276557-3,1973-02-21T22:01:54Z
997,attitude-oriented,Lyda Barwood,454797743-7,1971-05-18T07:21:28Z
998,migration,Boyce Milsom,732674283-9,1984-09-20T04:00:31Z
999,upward-trending,Radcliffe Glyde,754046310-4,2015-02-14T17:57:30Z
1000,Multi-lateral,Archie Lewsam,632026563-9,2005-12-16T17:08:59Z
